step	epoch
24	0
49	0
74	0
99	0
124	0
149	0
174	0
199	0
224	0
249	0
274	0
299	0
324	0
349	0
374	0
399	0
424	0
449	0
474	0
499	0
524	0
549	0
574	0
599	0
624	0
649	0
674	0
699	0
724	0
749	0
774	0
799	0
824	0
849	0
874	0
899	0
924	0
949	0
974	0
999	0
1024	0
1049	0
1074	0
1099	0
1124	0
1149	0
1174	0
1199	0
1224	0
1249	0
1274	0
1299	0
1324	0
1349	0
1374	0
1399	0
1424	0
1449	0
1474	0
1499	0
1524	0
1549	0
1574	0
1599	0
1624	0
1649	0
1674	0
1699	0
1724	0
1749	0
1774	0
1799	0
1824	0
1849	0
1874	0
1899	0
1924	0
1949	0
1974	0
1999	0
2024	0
2049	0
2074	0
2099	0
2124	0
2149	0
2174	0
2199	0
2224	0
2249	0
2274	0
2299	0
2324	0
2349	0
2374	0
2399	0
2424	0
2449	1
2474	1
2499	1
2524	1
2549	1
2574	1
2599	1
2624	1
2649	1
2674	1
2699	1
2724	1
2749	1
2774	1
2799	1
2824	1
2849	1
2874	1
2899	1
2924	1
2949	1
2974	1
2999	1
3024	1
3049	1
3074	1
3099	1
3124	1
3149	1
3174	1
3199	1
3224	1
3249	1
3274	1
3299	1
3324	1
3349	1
3374	1
3399	1
3424	1
3449	1
3474	1
3499	1
3524	1
3549	1
3574	1
3599	1
3624	1
3649	1
